Subject Name,Course Link,Discipline,SME Name,Institute
Acoustic Instabilities in Aerospace Propulsion,https://nptel.ac.in/courses/101/106/101106031/,Aerospace Engineering,Prof. R.I. Sujith,IIT Madras
Advanced Control System Design for Aerospace Vehicles,https://nptel.ac.in/courses/101/108/101108047/,Aerospace Engineering,Dr. Radhakant Padhi,IISc Bangalore
Aero elasticity,https://nptel.ac.in/courses/101/104/101104005/,Aerospace Engineering,Prof. C. Venkatesan,IIT Kanpur
Aerospace Propulsion,https://nptel.ac.in/courses/101/106/101106033/,Aerospace Engineering,Dr. P.A. Ramakrishna,IIT Madras
"Aircraft Performance, Stability and control with experiments in Flight",https://nptel.ac.in/courses/101/104/101104007/,Aerospace Engineering,Mr.Yogendra SinghDr. Deepu PhilipDr. A.K. Ghosh,IIT Kanpur
Aircraft Structural Dynamics,https://nptel.ac.in/courses/101/105/101105022/,Aerospace Engineering,Dr. Anup GhoshDr. D.K. Maiti,IIT Kharagpur
Airplane design (Aerodynamic),https://nptel.ac.in/courses/101/106/101106035/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Combustion,https://nptel.ac.in/courses/101/106/101106037/,Aerospace Engineering,Prof. S.R. Chakravarthy,IIT Madras
Composite Materials,https://nptel.ac.in/courses/101/106/101106038/,Aerospace Engineering,Prof. R. Velmurugan,IIT Madras
Composite Materials and Structures,https://nptel.ac.in/courses/101/104/101104010/,Aerospace Engineering,Dr. P.M. Mohite,IIT Kanpur
Experimental Gas/Aerodynamics,https://nptel.ac.in/courses/101/106/101106040/,Aerospace Engineering,Prof. Job Kurian,IIT Madras
Flight Dynamics II (Stability),https://nptel.ac.in/courses/101/106/101106042/,Aerospace Engineering,Dr. Nandan Kumar Sinha,IIT Madras
Flight dynamics I - Airplane performance,https://nptel.ac.in/courses/101/106/101106041/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Flight dynamics II - Airplane stability and control,https://nptel.ac.in/courses/101/106/101106043/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Foundation of Scientific Computing,https://nptel.ac.in/courses/101/104/101104013/,Aerospace Engineering,Prof. Tapan K. Sengupta,IIT Kanpur
Fundamentals of Combustion,https://nptel.ac.in/courses/101/104/101104014/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
Gas Dynamics,https://nptel.ac.in/courses/101/106/101106044/,Aerospace Engineering,Dr. T.M. Muruganandam,IIT Madras
Guidance of Missiles,https://nptel.ac.in/courses/101/108/101108054/,Aerospace Engineering,Prof. Debasish Ghose,IISc Bangalore
High Speed Aero Dynamics,https://nptel.ac.in/courses/101/105/101105024/,Aerospace Engineering,Dr. K.P. Sinhamahapatra,IIT Kharagpur
High Speed Aero Dynamics,https://nptel.ac.in/courses/101/105/101105023/,Aerospace Engineering,Dr. K.P. Sinhamahapatra,IIT Kharagpur
Hypersonic Aerodynamics,https://nptel.ac.in/courses/101/103/101103003/,Aerospace Engineering,Dr. Vinayak KulkarniDr. N. Sahoo,IIT Guwahati
Instability and Transition of Fluid Flows,https://nptel.ac.in/courses/101/104/101104015/,Aerospace Engineering,Prof. Tapan K. Sengupta,IIT Kanpur
Introduction to Aerodynamics,https://nptel.ac.in/courses/101/105/101105059/,Aerospace Engineering,Dr. K.P. Sinhamahapatra,IIT Kharagpur
Introduction to Aerospace Propulsion,https://nptel.ac.in/courses/101/101/101101001/,Aerospace Engineering,Prof. Bhaskar RoyProf. A M Pradeep ,IIT Bombay
Introduction to CFD,https://nptel.ac.in/courses/101/106/101106045/,Aerospace Engineering,Prof. M. Ramakrishna,IIT Madras
Introduction to Helicopter Aerodynamics and Dynamics,https://nptel.ac.in/courses/101/104/101104017/,Aerospace Engineering,Prof. A.R. ManjunathProf. C. Venkatesan,IIT Kanpur
Introduction to Propulsion,https://nptel.ac.in/courses/101/104/101104018/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
Introduction to Turbulent Flows and their prediction,https://nptel.ac.in/courses/101/106/101106060/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Jet Aircraft Propulsion,https://nptel.ac.in/courses/101/101/101101002/,Aerospace Engineering,Prof. A M Pradeep Prof. Bhaskar Roy,IIT Bombay
Jet and Rocket Propulsion,https://nptel.ac.in/courses/101/104/101104019/,Aerospace Engineering,Dr. A. Kushari,IIT Kanpur
NOC:Advance Aircraft Maintenance,https://nptel.ac.in/courses/101/104/101104075/,Aerospace Engineering,Mr. V. MathurDr. A.K. Ghosh,IIT Kanpur
NOC:Aircraft Design,https://nptel.ac.in/courses/101/104/101104069/,Aerospace Engineering,Dr. A.K. Ghosh,IIT Kanpur
NOC:Aircraft Dynamic Stability & Design Stability Augmentation System,https://nptel.ac.in/courses/101/104/101104064/,Aerospace Engineering,Dr. A.K. Ghosh,IIT Kanpur
NOC:Aircraft Maintenance,https://nptel.ac.in/courses/101/104/101104071/,Aerospace Engineering,Dr. A.K. Ghosh,IIT Kanpur
NOC:Aircraft Stability and Control,https://nptel.ac.in/courses/101/104/101104062/,Aerospace Engineering,Dr. A.K. Ghosh,IIT Kanpur
NOC:Combustion in air breathing aero engines,https://nptel.ac.in/courses/101/108/101108068/,Aerospace Engineering,Prof. Swetaprovo Chaudhuri,IISc Bangalore
NOC:Design of fixed wing Unmanned Aerial Vehicles,https://nptel.ac.in/courses/101/104/101104073/,Aerospace Engineering,Prof. Saderla Subrahmanyam,IIT Kanpur
NOC:Engineering Thermodynamics,https://nptel.ac.in/courses/101/104/101104067/,Aerospace Engineering,Dr. Jayant K. Singh,IIT Kanpur
NOC:Engineering Thermodynamics,https://nptel.ac.in/courses/101/104/101104063/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
NOC:Fundamentals Of Combustion - I,https://nptel.ac.in/courses/101/104/101104070/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
NOC:Fundamentals of Combustion (Part 2),https://nptel.ac.in/courses/101/104/101104072/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
NOC:Introduction to Aerospace Engineering,https://nptel.ac.in/courses/101/101/101101079/,Aerospace Engineering,Prof. Rajkumar Pant,IIT Bombay
NOC:Introduction to Ancient Indian Technology,https://nptel.ac.in/courses/101/104/101104065/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
NOC:Introduction to Experiments in Flight,https://nptel.ac.in/courses/101/104/101104066/,Aerospace Engineering,Prof. Mahendra VermaDr. A.K. Ghosh,IIT Kanpur
NOC:Introduction to Finite Volume Methods I,https://nptel.ac.in/courses/101/104/101104074/,Aerospace Engineering,Prof. Ashoke De,IIT Kanpur
NOC:Introduction to Finite Volume Methods II,https://nptel.ac.in/courses/101/104/101104076/,Aerospace Engineering,Prof. Ashoke De,IIT Kanpur
NOC:Introduction to Rocket Propulsion,https://nptel.ac.in/courses/101/104/101104078/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
NOC:Introduction to airplane performance,https://nptel.ac.in/courses/101/104/101104061/,Aerospace Engineering,Dr. A.K. Ghosh,IIT Kanpur
NOC:Rocket Propulsion,https://nptel.ac.in/courses/101/106/101106082/,Aerospace Engineering,Prof. K. RamamurthiProf. S. Varunkumar,IIT Madras
NOC:Satellite Attitude Dynamics and Control,https://nptel.ac.in/courses/101/105/101105077/,Aerospace Engineering,Dr. Manoranjan Sinha,IIT Kharagpur
NOC:Vibration and Structural Dynamics,https://nptel.ac.in/courses/101/105/101105081/,Aerospace Engineering,Prof. Mira Mitra,IIT Kharagpur
"Navigation, Guidance, And Control",https://nptel.ac.in/courses/101/108/101108056/,Aerospace Engineering,Prof. Debasish Ghose,IISc Bangalore
"Optimal Control, Guidance and Estimation",https://nptel.ac.in/courses/101/108/101108057/,Aerospace Engineering,Dr. Radhakant Padhi,IISc Bangalore
Principles of Fluid Dynamics,https://nptel.ac.in/courses/101/103/101103004/,Aerospace Engineering,Dr. Vinayak KulkarniDr. N. Sahoo,IIT Guwahati
Space Flight Mechanics,https://nptel.ac.in/courses/101/105/101105029/,Aerospace Engineering,Dr. Manoranjan Sinha,IIT Kharagpur
Space Flight Mechanics,https://nptel.ac.in/courses/101/105/101105030/,Aerospace Engineering,Dr. Manoranjan Sinha,IIT Kharagpur
Space Technology,https://nptel.ac.in/courses/101/106/101106046/,Aerospace Engineering,Dr. Amit KumarDr. Nandan Kumar Sinha,IIT Madras
Turbomachinery Aerodynamics,https://nptel.ac.in/courses/101/101/101101058/,Aerospace Engineering,Prof. Bhaskar RoyProf. A M Pradeep ,IIT Bombay
NOC:Basic Crop Production Practices (BCPP),https://nptel.ac.in/courses/126/104/126104001/,Agriculture,Prof. J. R. YadavDr. Vinod KumarDr. Sharwan Kumar Shukla,IIT Kanpur
NOC:Dairy and Food process and products technology,https://nptel.ac.in/courses/126/105/126105013/,Agriculture,Prof. Tridib Kumar Goswami,IIT Kharagpur
NOC:Farm Machinery,https://nptel.ac.in/courses/126/105/126105009/,Agriculture,Prof. VK Tewari,IIT Kharagpur
NOC:Fundamentals of Food Process Engineering,https://nptel.ac.in/courses/126/105/126105011/,Agriculture,Prof. Jayeeta Mitra,IIT Kharagpur
NOC:GIS in Ag-Essentials and Applications (GIS),https://nptel.ac.in/courses/126/104/126104002/,Agriculture,Dr. Venkataraman BalajiDr. R. Nagarajan,IIT Kanpur
NOC:ICT Basics,https://nptel.ac.in/courses/126/104/126104006/,Agriculture,Prof. T.V. Prabhakar,IIT Kanpur
NOC:Integrated Pest Management (IPM),https://nptel.ac.in/courses/126/104/126104003/,Agriculture,Prof. M. BheemannaProf. B.V. PatilProf. Prabhuraj A(Instructor Incharge),IIT Kanpur
NOC:Irrigation and Drainage,https://nptel.ac.in/courses/126/105/126105010/,Agriculture,Prof. Damodhara Rao Mailapallli,IIT Kharagpur
NOC:MobiMOOC (Audio Course in Hindi),https://nptel.ac.in/courses/126/104/126104007/,Agriculture,Prof. J. R. YadavDr. Vinod KumarDr. Sharwan Kumar Shukla,IIT Kanpur
NOC:Momentum transfer in process engineering,https://nptel.ac.in/courses/126/105/126105008/,Agriculture,Prof. Tridib Kumar Goswami,IIT Kharagpur
NOC:Novel Technologies for Food Processing and Shelf Life Extension,https://nptel.ac.in/courses/126/105/126105015/,Agriculture,Prof. Hari Niwas Mishra,IIT Kharagpur
"NOC:Nutrition, Therapeutics and Health (NM)",https://nptel.ac.in/courses/126/104/126104004/,Agriculture,Dr. V. Vijaya Lakshmi (Instructor Incharge),IIT Kanpur
NOC:Organic Farming for Sustainable Agricultural Production,https://nptel.ac.in/courses/126/105/126105014/,Agriculture,Prof. Dilip Kumar Swain,IIT Kharagpur
NOC:Soil Science and Technology,https://nptel.ac.in/courses/126/105/126105016/,Agriculture,Prof. Somsubhra Chakraborty,IIT Kharagpur
NOC:Soil and Water Conservation Engineering,https://nptel.ac.in/courses/126/105/126105012/,Agriculture,Prof. Rajendra Singh,IIT Kharagpur
NOC:Thermal Operations in Food Process Engineering: Theory and Applications,https://nptel.ac.in/courses/126/105/126105018/,Agriculture,Prof. Tridib Kumar Goswami,IIT Kharagpur
NOC:Thermal Processing of Foods,https://nptel.ac.in/courses/126/103/126103017/,Agriculture,Prof. R. Anandalakshmi,IIT Guwahati
NOC:Weather Forecast in Agriculture and Agro-advisory (WF),https://nptel.ac.in/courses/126/104/126104005/,Agriculture,"Dr. R. Nagarajan, Co FacultyDr.T.N.Balasubramanian (Rtd.), Instructor Incharge",IIT Kanpur
NOC:Architectural Acoustics,https://nptel.ac.in/courses/124/105/124105004/,Architecture,Prof. Sumana GuptaProf. Sankha Pratim Bhattacharya,IIT Kharagpur
NOC:Architectural Conservation And Historic Preservation,https://nptel.ac.in/courses/124/105/124105003/,Architecture,Prof. Sanghamitra Basu,IIT Kharagpur
NOC:Contemporary Architecture and Design,https://nptel.ac.in/courses/124/107/124107005/,Architecture,Prof. Saptarshi Kolay,IIT Roorkee
NOC:Culturally Responsive Built Environments,https://nptel.ac.in/courses/124/107/124107004/,Architecture,Prof. Ram Sateesh Pasupuleti,IIT Roorkee
NOC:Disaster Recovery And Build Back Better,https://nptel.ac.in/courses/124/107/124107010/,Architecture,Prof. Subhojyothi SamaddarProf. Ram Sateesh Pasupuleti,IIT Roorkee
NOC:Housing Policy & Planning,https://nptel.ac.in/courses/124/107/124107001/,Architecture,Prof. Uttam Kumar Roy,IIT Roorkee
NOC:Introduction to History of Architecture in India,https://nptel.ac.in/courses/124/106/124106009/,Architecture,Prof. Pushkar Sohoni,IIT Madras
NOC:Landscape Architecture and Site Planning - Basic Fundamentals,https://nptel.ac.in/courses/124/105/124105001/,Architecture,Prof. Uttam Kumar Bannerjee,IIT Kharagpur
NOC:Role of Craft and Technology in Interior - Architecture,https://nptel.ac.in/courses/124/107/124107006/,Architecture,Prof. Smriti Saraswat,IIT Roorkee
"NOC:Structure, Form and Architecture : The Synergy",https://nptel.ac.in/courses/124/107/124107012/,Architecture,Prof. Shubhajit Sadhukhan,IIT Roorkee
NOC:Sustainable Architecture,https://nptel.ac.in/courses/124/107/124107011/,Architecture,Prof. Avlokita Agrawal,IIT Roorkee
NOC:Urban governance and Development Management (UGDM),https://nptel.ac.in/courses/124/107/124107007/,Architecture,Prof. Uttam Kumar Roy,IIT Roorkee
NOC:User Interface Design,https://nptel.ac.in/courses/124/107/124107008/,Architecture,Prof. Saptarshi Kolay,IIT Roorkee
"NOC:Visual Communication Design for Digital Media
",https://nptel.ac.in/courses/124/107/124107002/,Architecture,Prof. Saptarshi Kolay,IIT Roorkee
Introduction to Atmospheric Science,https://nptel.ac.in/courses/119/106/119106008/,Atmospheric Science,Prof. C. Balaji,IIT Madras
Physics of Atmosphere and Ocean,https://nptel.ac.in/courses/119/102/119102007/,Atmospheric Science,Dr. Om P Sharma,IIT Delhi
Radiation Heat Transfer,https://nptel.ac.in/courses/119/108/119108004/,Atmospheric Science,Prof. J. Srinivasan,IISc Bangalore
The monsoon and its variability,https://nptel.ac.in/courses/119/108/119108006/,Atmospheric Science,Sulochana Gadgil,IISc Bangalore
Basic Biology,https://nptel.ac.in/courses/122/103/122103039/,Basic courses-Sem 1 and 2,Dr. Vishal Trivedi,IIT Guwahati
Basic Electronics,https://nptel.ac.in/courses/122/104/122104013/,Basic courses-Sem 1 and 2,Prof. Yatindra N SinghProf. Joseph John,IIT Kanpur
Basic Electronics and Lab,https://nptel.ac.in/courses/122/106/122106025/,Basic courses-Sem 1 and 2,Prof. T.S. Natarajan,IIT Madras
Basic Electronics and Lab,https://nptel.ac.in/courses/122/106/122106026/,Basic courses-Sem 1 and 2,Prof. T.S. Natarajan,IIT Madras
Classical Physics,https://nptel.ac.in/courses/122/106/122106027/,Basic courses-Sem 1 and 2,Prof. V. Balakrishnan,IIT Madras
Concept of Management and Evolution of Management thought,https://nptel.ac.in/courses/122/108/122108038/,Basic courses-Sem 1 and 2,Prof. K.B. Akhilesh,IISc Bangalore
Engineering Chemistry I,https://nptel.ac.in/courses/122/101/122101001/,Basic courses-Sem 1 and 2,Prof. B.L. TembeProf. K. Mangala Sunder,IIT Bombay
Engineering Chemistry III,https://nptel.ac.in/courses/122/106/122106029/,Basic courses-Sem 1 and 2,Prof. N. Narasimha MurthyProf. Santosh J GharpureProf. K.M. MuraleedharanProf. S. Sankararaman,IIT Madras
Engineering Mechanics,https://nptel.ac.in/courses/122/104/122104014/,Basic courses-Sem 1 and 2,Prof. Manoj K Harbola,IIT Kanpur
Engineering Mechanics,https://nptel.ac.in/courses/122/104/122104015/,Basic courses-Sem 1 and 2,Prof. Manoj K Harbola,IIT Kanpur
Engineering Physics I,https://nptel.ac.in/courses/122/107/122107035/,Basic courses-Sem 1 and 2,Prof. Rajdeep ChatterjeeProf. B. K. PatraProf.  M. K. Srivastava                                       Prof. G.D. Verma,IIT Roorkee
Engineering Physics I (Experiment),https://nptel.ac.in/courses/122/103/122103010/,Basic courses-Sem 1 and 2,Prof. Alika Khare Prof. Pratima AgarwalProf. S. Ravi,IIT Guwahati
Engineering Physics I (Theory),https://nptel.ac.in/courses/122/103/122103011/,Basic courses-Sem 1 and 2,Prof. Alika Khare Prof. Pratima AgarwalProf. S. Ravi,IIT Guwahati
Engineering Physics II,https://nptel.ac.in/courses/122/101/122101002/,Basic courses-Sem 1 and 2,Prof. D.K. Ghosh,IIT Bombay
Environment and Ecology,https://nptel.ac.in/courses/122/102/122102006/,Basic courses-Sem 1 and 2,Prof. Anuradha SharmaProf. V.B. Upadhyay,IIT Delhi
Environmental Chemistry and Analysis,https://nptel.ac.in/courses/122/106/122106030/,Basic courses-Sem 1 and 2,Prof. M.S. Subramanian,IIT Madras
Leadership,https://nptel.ac.in/courses/122/105/122105021/,Basic courses-Sem 1 and 2,Prof. Kalyan Chakravarti,IIT Kharagpur
Management Science I,https://nptel.ac.in/courses/122/106/122106031/,Basic courses-Sem 1 and 2,Prof. M. Thenmozhi,IIT Madras
Management Science II,https://nptel.ac.in/courses/122/106/122106032/,Basic courses-Sem 1 and 2,Prof. R. Madhumathi,IIT Madras
Mathematics I,https://nptel.ac.in/courses/122/101/122101003/,Basic courses-Sem 1 and 2,Prof. Inder K Rana,IIT Bombay
Mathematics I,https://nptel.ac.in/courses/122/104/122104017/,Basic courses-Sem 1 and 2,Prof. Swagato K. RayProf. Shobha MadanDr. P. Shunmugaraj,IIT Kanpur
Mathematics II,https://nptel.ac.in/courses/122/104/122104018/,Basic courses-Sem 1 and 2,Prof. P. ChandraProf. A.K. LalProf. V. RaghavendraProf. G. Santhanam,IIT Kanpur
Mathematics II,https://nptel.ac.in/courses/122/107/122107036/,Basic courses-Sem 1 and 2,Dr. Sunita GakkharProf. H.G. SharmaDr. Tanuja Srivastava,IIT Roorkee
Mathematics III,https://nptel.ac.in/courses/122/103/122103012/,Basic courses-Sem 1 and 2,Dr. M. Guru Prem PrasadProf. Durga C Dalal,IIT Guwahati
Mathematics III,https://nptel.ac.in/courses/122/107/122107037/,Basic courses-Sem 1 and 2,Prof. P.N. AgrawalDr. Tanuja Srivastava,IIT Roorkee
Numerical Analysis in Computer Programming,https://nptel.ac.in/courses/122/104/122104019/,Basic courses-Sem 1 and 2,Prof. Rathish KumarProf. V. RaghavendraProf. M.K. KadalbajooProf. P.B. Sunil Kumar,IIT Kanpur
Numerical Methods and Computation,https://nptel.ac.in/courses/122/102/122102009/,Basic courses-Sem 1 and 2,Prof. S. R. K. Iyengar,IIT Delhi
Numerical methods and programing,https://nptel.ac.in/courses/122/106/122106033/,Basic courses-Sem 1 and 2,Prof. P.B. Sunil Kumar,IIT Madras
Physics I - Oscillations & Waves,https://nptel.ac.in/courses/122/105/122105023/,Basic courses-Sem 1 and 2,Prof. S. Bharadwaj,IIT Kharagpur
Quantum Physics,https://nptel.ac.in/courses/122/106/122106034/,Basic courses-Sem 1 and 2,Prof. V. Balakrishnan,IIT Madras
Strategic Management,https://nptel.ac.in/courses/122/105/122105024/,Basic courses-Sem 1 and 2,Prof. Kalyan Chakravarti,IIT Kharagpur
Advanced Clinical Proteomics,https://nptel.ac.in/courses/102/101/102101040/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
Analytical Technologies in Biotechnology,https://nptel.ac.in/courses/102/107/102107028/,Biotechnology,Dr. Ashwani K. Sharma,IIT Roorkee
Animal Physiology,https://nptel.ac.in/courses/102/104/102104042/,Biotechnology,Prof. Mainak Das,IIT Kanpur
Bio electricity,https://nptel.ac.in/courses/102/104/102104043/,Biotechnology,Prof. Mainak Das,IIT Kanpur
Bioanalytical Techniques and Bioinformatics,https://nptel.ac.in/courses/102/103/102103044/,Biotechnology,Dr. Vishal TrivediDr. Nitin Chaudhary,IIT Guwahati
Biomathematics,https://nptel.ac.in/courses/102/101/102101003/,Biotechnology,Dr. Ranjith Padinhateeri,IIT Bombay
Cell Biology,https://nptel.ac.in/courses/102/103/102103012/,Biotechnology,Dr. Sanjukta Patra  ,IIT Guwahati
Cellular and Molecular Immunology,https://nptel.ac.in/courses/102/103/102103038/,Biotechnology,Dr. Sachin Kumar,IIT Guwahati
Downstream Processing,https://nptel.ac.in/courses/102/106/102106022/,Biotechnology,Prof. Mukesh Doble,IIT Madras
Enzyme Science and Engineering,https://nptel.ac.in/courses/102/102/102102033/,Biotechnology,Prof. Subhash Chand,IIT Delhi
Experimental Biotechnology,https://nptel.ac.in/courses/102/103/102103047/,Biotechnology,Dr. Vishal TrivediDr. Nitin Chaudhary,IIT Guwahati
Fundamentals of Biotechnology,https://nptel.ac.in/courses/102/103/102103045/,Biotechnology,Dr. Vishal Trivedi,IIT Guwahati
Gene Therapy,https://nptel.ac.in/courses/102/103/102103041/,Biotechnology,Dr. Sachin Kumar,IIT Guwahati
General Virology,https://nptel.ac.in/courses/102/103/102103039/,Biotechnology,Dr. Sachin Kumar,IIT Guwahati
Genetic Engineering & Applications,https://nptel.ac.in/courses/102/103/102103013/,Biotechnology,Dr. Utpal Bora,IIT Guwahati
Introduction to Computational Neuroscience,https://nptel.ac.in/courses/102/106/102106023/,Biotechnology,Dr. V Srinivasa Chakravarthy,IIT Madras
Microbiology,https://nptel.ac.in/courses/102/103/102103015/,Biotechnology,Dr. Gurvinder Kaur Saini,IIT Guwahati
Molecular Cell Biology,https://nptel.ac.in/courses/102/106/102106025/,Biotechnology,Prof. Devarajan Karunagaran,IIT Madras
NOC:Animal Physiology,https://nptel.ac.in/courses/102/104/102104058/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Applications of interactomics using Genomics and proteomics technologies,https://nptel.ac.in/courses/102/101/102101072/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Aspects Of Biochemical Engineering,https://nptel.ac.in/courses/102/105/102105064/,Biotechnology,Prof. Debabrata Das,IIT Kharagpur
NOC:BioInformatics:Algorithms and Applications,https://nptel.ac.in/courses/102/106/102106065/,Biotechnology,Prof. M. Michael Gromiha,IIT Madras
NOC:Bioelectrochemistry,https://nptel.ac.in/courses/102/104/102104062/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Bioenergetics Of Life Processes,https://nptel.ac.in/courses/102/104/102104063/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Bioenergy,https://nptel.ac.in/courses/102/104/102104057/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Bioengineering: An Interface with Biology and Medicine,https://nptel.ac.in/courses/102/101/102101068/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Biomedical nanotechnology,https://nptel.ac.in/courses/102/107/102107058/,Biotechnology,Prof. P.Gopinath,IIT Roorkee
NOC:Biomicrofluidics,https://nptel.ac.in/courses/102/105/102105068/,Biotechnology,Prof. Suman ChakrabortyProf. Tapas Kumar Maiti,IIT Kharagpur
NOC:Bioreactors,https://nptel.ac.in/courses/102/106/102106053/,Biotechnology,Prof. G.K. Suraishkumar,IIT Madras
NOC:Biostatistics and design of experiments,https://nptel.ac.in/courses/102/106/102106051/,Biotechnology,Prof. Mukesh Doble,IIT Madras
NOC:Cell Culture Technologies,https://nptel.ac.in/courses/102/104/102104059/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Computational Systems Biology,https://nptel.ac.in/courses/102/106/102106068/,Biotechnology,Prof. Karthik Raman,IIT Madras
NOC:Computer Aided Drug Design,https://nptel.ac.in/courses/102/106/102106070/,Biotechnology,Prof. Mukesh Doble,IIT Madras
NOC:Demystifying the Brain,https://nptel.ac.in/courses/102/106/102106066/,Biotechnology,Dr. V Srinivasa Chakravarthy,IIT Madras
NOC:Drug Delivery: Principles and Engineering,https://nptel.ac.in/courses/102/108/102108077/,Biotechnology,Rachit Agarwal,IISc Bangalore
NOC:Forest Biometry,https://nptel.ac.in/courses/102/104/102104060/,Biotechnology,Dr. Ankur AwadhiyaProf. Mainak Das,IIT Kanpur
NOC:Forests and their management,https://nptel.ac.in/courses/102/104/102104082/,Biotechnology,Dr. Ankur Awadhiya,IIT Kanpur
NOC:Functional Genomics,https://nptel.ac.in/courses/102/104/102104056/,Biotechnology,S. Ganesh,IIT Kanpur
NOC:Genetic Engineering: Theory and Application,https://nptel.ac.in/courses/102/103/102103074/,Biotechnology,Dr. Vishal Trivedi,IIT Guwahati
NOC:Human Molecular Genetics,https://nptel.ac.in/courses/102/104/102104052/,Biotechnology,S. Ganesh,IIT Kanpur
NOC:Industrial Biotechnology,https://nptel.ac.in/courses/102/105/102105058/,Biotechnology,Prof. Debabrata Das,IIT Kharagpur
NOC:Interactomics,https://nptel.ac.in/courses/102/101/102101054/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Interactomics : Basics & Applications,https://nptel.ac.in/courses/102/101/102101082/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Introduction To Professional Scientific Communication,https://nptel.ac.in/courses/102/104/102104061/,Biotechnology,S. Ganesh,IIT Kanpur
NOC:Introduction to Biostatistics,https://nptel.ac.in/courses/102/101/102101056/,Biotechnology,Prof. Shamik Sen,IIT Bombay
NOC:Introduction to Dynamical Models in Biology,https://nptel.ac.in/courses/102/103/102103056/,Biotechnology,Prof. Biplab Bose,IIT Guwahati
NOC:Introduction to Proteogenomics,https://nptel.ac.in/courses/102/101/102101076/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Introduction to mechanobiology,https://nptel.ac.in/courses/102/101/102101058/,Biotechnology,Prof. Shamik Sen,IIT Bombay
NOC:Introduction to proteomics,https://nptel.ac.in/courses/102/101/102101055/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Introductory Mathematical Methods for Biologists,https://nptel.ac.in/courses/102/101/102101067/,Biotechnology,Dr. Ranjith Padinhateeri,IIT Bombay
NOC:Learning about Learning: A Course on Neurobiology of Learning and Memory,https://nptel.ac.in/courses/102/108/102108071/,Biotechnology,Prof. Balaji Jayaprakash,IISc Bangalore
NOC:Mass spectrometry based proteomics,https://nptel.ac.in/courses/102/101/102101050/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Material and Energy Balances,https://nptel.ac.in/courses/102/106/102106069/,Biotechnology,Prof.Vignesh Muthuvijayan,IIT Madras
NOC:Medical Biomaterials,https://nptel.ac.in/courses/102/106/102106057/,Biotechnology,Prof. Mukesh Doble,IIT Madras
NOC:Nanotechnology in Agriculture,https://nptel.ac.in/courses/102/104/102104069/,Biotechnology,Prof. Mainak Das,IIT Kanpur
NOC:Optical Spectroscopy and Microscopy : Fundamentals of optical measurements and instrumentation,https://nptel.ac.in/courses/102/108/102108082/,Biotechnology,Prof. Balaji Jayaprakash,IISc Bangalore
NOC:Plant Cell Bioprocessing,https://nptel.ac.in/courses/102/106/102106080/,Biotechnology,Prof. Smita Srivastava,IIT Madras
NOC:Plant Developmental Biology,https://nptel.ac.in/courses/102/107/102107075/,Biotechnology,Prof. Shri Ram Yadav,IIT Roorkee
NOC:Principles of Downstream techniques in Bioprocess,https://nptel.ac.in/courses/102/106/102106048/,Biotechnology,Prof. Mukesh Doble,IIT Madras
NOC:Proteins and Gel-Based Proteomics,https://nptel.ac.in/courses/102/101/102101049/,Biotechnology,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Thermodynamics for Biological Systems : Classical and Statistical Aspect,https://nptel.ac.in/courses/102/106/102106082/,Biotechnology,Prof. G.K. SuraishkumarProf. Sanjib Senapati,IIT Madras
NOC:Tissue engineering,https://nptel.ac.in/courses/102/106/102106081/,Biotechnology,Prof.Vignesh Muthuvijayan,IIT Madras
NOC:Wild Life Ecology,https://nptel.ac.in/courses/102/104/102104073/,Biotechnology,Prof. Mainak DasDr. Ankur Awadhiya,IIT Kanpur
